lokalisation,geschlecht,alle,0-44,45-59,60-74,75+,typ
Insgesamt,Zusammen,340840,61193,108533,132667,38447,abs
Insgesamt,Männlich,161208,24311,45704,73155,18038,abs
Insgesamt,Weiblich,179632,36882,62829,59512,20409,abs
Insgesamt,Zusammen,3.949698702789808,1.3409201868387213,5.446237392783145,10.041409356198423,5.112598985379087,rel
Insgesamt,Männlich,3.811896499377169,1.0479263248869033,4.586747166902842,11.753770911124107,6.212951513627643,rel
Insgesamt,Weiblich,4.082134457826178,1.6438810425955155,6.3057836890074075,8.516277119588784,4.420632651469862,rel
alle-Krebsarten,Zusammen,364294,62222,113258,144622,44192,abs
alle-Krebsarten,Männlich,173817,24682,47784,80086,21265,abs
alle-Krebsarten,Weiblich,190477,37540,65474,64536,22927,abs
Kopf&Hals,Zusammen,7830,957,3403,2775,695,abs
Kopf&Hals,Männlich,5489,609,2518,1963,399,abs
Kopf&Hals,Weiblich,2341,348,885,812,296,abs
Speiseröhre,Zusammen,1191,60,406,580,145,abs
Speiseröhre,Männlich,920,47,327,444,102,abs
Speiseröhre,Weiblich,271,13,79,136,43,abs
Magen,Zusammen,6907,629,1959,2806,1513,abs
Magen,Männlich,3768,321,1163,1596,688,abs
Magen,Weiblich,3139,308,796,1210,825,abs
Darm,Zusammen,42777,2817,11763,19513,8684,abs
Darm,Männlich,23090,1370,6394,11104,4222,abs
Darm,Weiblich,19687,1447,5369,8409,4462,abs
Leber,Zusammen,1710,160,425,836,289,abs
Leber,Männlich,1227,104,303,631,189,abs
Leber,Weiblich,483,56,122,205,100,abs
Bauchspeicheldrüse,Zusammen,2418,156,628,1175,459,abs
Bauchspeicheldrüse,Männlich,1178,72,322,587,197,abs
Bauchspeicheldrüse,Weiblich,1240,84,306,588,262,abs
Kehlkopf,Zusammen,2860,240,1251,1141,228,abs
Kehlkopf,Männlich,2457,190,1079,984,204,abs
Kehlkopf,Weiblich,403,50,172,157,24,abs
Lunge,Zusammen,13242,826,4393,6432,1591,abs
Lunge,Männlich,7589,436,2448,3776,929,abs
Lunge,Weiblich,5653,390,1945,2656,662,abs
Melanom,Zusammen,20778,6807,6204,5557,2210,abs
Melanom,Männlich,9701,2741,2920,2965,1075,abs
Melanom,Weiblich,11077,4066,3284,2592,1135,abs
Brust,Zusammen,74817,11671,29540,25801,7805,abs
Brust,Männlich,647,57,173,315,102,abs
Brust,Weiblich,74170,11614,29367,25486,7703,abs
Gebärmutter,Zusammen,13796,798,5283,6136,1579,abs
Gebärmutter,Männlich,0,0,0,0,0,abs
Gebärmutter,Weiblich,13796,798,5283,6136,1579,abs
Eierstock,Zusammen,6617,1778,2612,1735,492,abs
Eierstock,Männlich,0,0,0,0,0,abs
Eierstock,Weiblich,6617,1778,2612,1735,492,abs
Prostata,Zusammen,61348,363,14769,38650,7566,abs
Prostata,Männlich,61348,363,14769,38650,7566,abs
Prostata,Weiblich,0,0,0,0,0,abs
Hoden,Zusammen,8992,7426,1371,170,25,abs
Hoden,Männlich,8992,7426,1371,170,25,abs
Hoden,Weiblich,0,0,0,0,0,abs
Niere,Zusammen,14891,1797,4966,6290,1838,abs
Niere,Männlich,8842,1089,3172,3652,929,abs
Niere,Weiblich,6049,708,1794,2638,909,abs
Harnblase,Zusammen,15596,993,4096,7306,3201,abs
Harnblase,Männlich,11465,708,3075,5464,2218,abs
Harnblase,Weiblich,4131,285,1021,1842,983,abs
Gehirn,Zusammen,3991,2168,1019,678,126,abs
Gehirn,Männlich,1948,1160,440,295,53,abs
Gehirn,Weiblich,2043,1008,579,383,73,abs
Schilddrüse,Zusammen,13976,5303,5461,2849,363,abs
Schilddrüse,Männlich,3658,1245,1505,823,85,abs
Schilddrüse,Weiblich,10318,4058,3956,2026,278,abs
Hodgkin-Lymphom,Zusammen,3555,2619,586,279,71,abs
Hodgkin-Lymphom,Männlich,1832,1339,332,132,29,abs
Hodgkin-Lymphom,Weiblich,1723,1280,254,147,42,abs
Non-Hodgkin-Lymphom,Zusammen,11799,2928,3469,3950,1452,abs
Non-Hodgkin-Lymphom,Männlich,6131,1706,1808,1988,629,abs
Non-Hodgkin-Lymphom,Weiblich,5668,1222,1661,1962,823,abs
Plasmozytom&Myelom,Zusammen,2140,166,591,962,421,abs
Plasmozytom&Myelom,Männlich,1113,101,336,495,181,abs
Plasmozytom&Myelom,Weiblich,1027,65,255,467,240,abs
Leukämien,Zusammen,7737,2841,1761,2317,818,abs
Leukämien,Männlich,4429,1611,1050,1334,434,abs
Leukämien,Weiblich,3308,1230,711,983,384,abs
alle-Krebsarten,Zusammen,4.221486736398634,1.3634686298347676,5.6833401327875706,10.94626925996765,5.876556671830639,rel
alle-Krebsarten,Männlich,4.110046733612732,1.063918290109767,4.795491130388705,12.867370612921677,7.3244491594019205,rel
alle-Krebsarten,Weiblich,4.328586917271739,1.6732090000280802,6.571247055564644,9.235220798994852,4.96603678770393,rel
Kopf&Hals,Zusammen,0.09073506877961564,0.020970709375331433,0.1707641532772617,0.21003648958256857,0.09241959827394765,rel
Kopf&Hals,Männlich,0.12979194509628109,0.026250961780927316,0.2527006250275984,0.315394057802428,0.13743029459681946,rel
Kopf&Hals,Weiblich,0.053199189263444614,0.015510834629988595,0.0888223362582813,0.11619869977661802,0.06411422729359983,rel
Speiseröhre,Zusammen,0.013801464484868738,0.0013147780172621587,0.020373272474454376,0.0438995185433837,0.01928178669024807,rel
Speiseröhre,Männlich,0.021754160956199416,0.002025936295079777,0.03281695964417183,0.07133721939087012,0.03513255651347264,rel
Speiseröhre,Weiblich,0.006158470863047198,5.794277304306084e-4,0.007928773519100818,0.019461851194113363,0.009313891127110788,rel
Magen,Zusammen,0.08003922350712711,0.013783256214298299,0.09830354871294611,0.21238284315988734,0.20119547077479538,rel
Magen,Männlich,0.08909747661191239,0.013836713845119324,0.11671597573752857,0.2564283832158304,0.2369725380516586,rel
Magen,Weiblich,0.07133372708156883,0.01372798007481749,0.07988992052157279,0.1731532348888027,0.17869674836898605,rel
Darm,Zusammen,0.4957054964477163,0.061728827910458355,0.5902729165443518,1.4769160436845623,1.1547795559869947,rel
Darm,Männlich,0.5459821483463527,0.05905388775019775,0.641686972369525,1.7840731624239232,1.4542122901949168,rel
Darm,Weiblich,0.4473867744679343,0.06449476353331464,0.5388555066335733,1.203343431553671,0.9664786560271705,rel
Leber,Zusammen,0.019815704676008013,0.0035060747126990904,0.02132670148187958,0.06327585776253236,0.03843059554125305,rel
Leber,Männlich,0.029013429883974658,0.004482922865708442,0.03040837545010417,0.10138239962981767,0.06509856059849344,rel
Leber,Weiblich,0.010976167626759396,0.002495996377239544,0.012244435054813919,0.02933587863818558,0.021660211923513462,rel
Bauchspeicheldrüse,Zusammen,0.028020101699758698,0.003418422844881613,0.03151333771910676,0.08893436946288939,0.06103682821257837,rel
