gkz,bezirkname,alle Krebsarten:diff_rate,alle Krebsarten:rate,alle Krebsarten:rate_at,Bauchspeicheldrüsenkrebs:diff_rate,Bauchspeicheldrüsenkrebs:rate,Bauchspeicheldrüsenkrebs:rate_at,Brustkrebs:diff_rate,Brustkrebs:rate,Brustkrebs:rate_at,Darmkrebs:diff_rate,Darmkrebs:rate,Darmkrebs:rate_at,Eierstockkrebs:diff_rate,Eierstockkrebs:rate,Eierstockkrebs:rate_at,Leukämie:diff_rate,Leukämie:rate,Leukämie:rate_at,Lungenkrebs:diff_rate,Lungenkrebs:rate,Lungenkrebs:rate_at,Magenkrebs:diff_rate,Magenkrebs:rate,Magenkrebs:rate_at,Prostatakrebs:diff_rate,Prostatakrebs:rate,Prostatakrebs:rate_at
0,Österreich,0,326.35,326.35,0,21.65,21.65,0,0.51,0.51,0,36.97,36.97,0,0,0,0,12.28,12.28,0,68.07,68.07,0,15.56,15.56,0,40.76,40.76
101,Eisenstadt(Stadt) /Eisenstadt Umgebung /Rust,33.120000000000005,359.47,326.35,-3.129999999999999,18.52,21.65,-0.040000000000000036,0.47,0.51,13.93,50.9,36.97,0,0,0,0.05000000000000071,12.33,12.28,-4.3799999999999955,63.69,68.07,-2.030000000000001,13.53,15.56,16.020000000000003,56.78,40.76
104,Güssing,20.549999999999955,346.9,326.35,10.870000000000005,32.52,21.65,0.35,0.86,0.51,-4.909999999999997,32.06,36.97,0,0,0,-0.33999999999999986,11.94,12.28,14.800000000000011,82.87,68.07,5.26,20.82,15.56,2.990000000000002,43.75,40.76
105,Jennersdorf,16.279999999999973,342.63,326.35,9.010000000000002,30.66,21.65,-0.51,0,0.51,5.060000000000002,42.03,36.97,0,0,0,1.6000000000000014,13.88,12.28,0.1600000000000108,68.23,68.07,-0.7800000000000011,14.78,15.56,-0.5700000000000003,40.19,40.76
106,Mattersburg,22.349999999999966,348.7,326.35,-3.719999999999999,17.93,21.65,-0.51,0,0.51,1.240000000000002,38.21,36.97,0,0,0,3.8100000000000005,16.09,12.28,-12.36999999999999,55.7,68.07,1.6100000000000012,17.17,15.56,1.0200000000000031,41.78,40.76
107,Neusiedl am See,20.97999999999996,347.33,326.35,3.6400000000000006,25.29,21.65,0.42000000000000004,0.93,0.51,2.450000000000003,39.42,36.97,0,0,0,-1.9799999999999986,10.3,12.28,12.27000000000001,80.34,68.07,4.269999999999998,19.83,15.56,-5.269999999999996,35.49,40.76
108,Oberpullendorf,11.529999999999973,337.88,326.35,5.600000000000001,27.25,21.65,-0.51,0,0.51,-9.379999999999999,27.59,36.97,0,0,0,1.620000000000001,13.9,12.28,-2.469999999999999,65.6,68.07,-2.960000000000001,12.6,15.56,-0.3500000000000014,40.41,40.76
109,Oberwart,4.669999999999959,331.02,326.35,7.210000000000001,28.86,21.65,-0.51,0,0.51,-7.379999999999999,29.59,36.97,0,0,0,0.8300000000000001,13.11,12.28,-6.029999999999994,62.04,68.07,-2.7300000000000004,12.83,15.56,7.880000000000003,48.64,40.76
201,Klagenfurt (Stadt),10.899999999999977,337.25,326.35,-1.1199999999999974,20.53,21.65,0.31999999999999995,0.83,0.51,-6.699999999999999,30.27,36.97,0,0,0,-3.4399999999999995,8.84,12.28,16.41000000000001,84.48,68.07,0.8100000000000005,16.37,15.56,5.840000000000003,46.6,40.76
202,Villach(Stadt),13.419999999999959,339.77,326.35,-3.6499999999999986,18,21.65,0.13,0.64,0.51,-3.4399999999999977,33.53,36.97,0,0,0,3.860000000000001,16.14,12.28,-0.2599999999999909,67.81,68.07,3.01,18.57,15.56,4.230000000000004,44.99,40.76
