gkz,bezirkname,alle Krebsarten:diff_rate,alle Krebsarten:rate,alle Krebsarten:rate_at,Bauchspeicheldrüsenkrebs:diff_rate,Bauchspeicheldrüsenkrebs:rate,Bauchspeicheldrüsenkrebs:rate_at,Brustkrebs:diff_rate,Brustkrebs:rate,Brustkrebs:rate_at,Darmkrebs:diff_rate,Darmkrebs:rate,Darmkrebs:rate_at,Eierstockkrebs:diff_rate,Eierstockkrebs:rate,Eierstockkrebs:rate_at,Leukämie:diff_rate,Leukämie:rate,Leukämie:rate_at,Lungenkrebs:diff_rate,Lungenkrebs:rate,Lungenkrebs:rate_at,Magenkrebs:diff_rate,Magenkrebs:rate,Magenkrebs:rate_at,Prostatakrebs:diff_rate,Prostatakrebs:rate,Prostatakrebs:rate_at
0,Österreich,0,200.45,200.45,0,16.76,16.76,0,33.06,33.06,0,20.68,20.68,0,10.59,10.59,0,7.23,7.23,0,29.18,29.18,0,8.22,8.22,0,0,0
101,Eisenstadt(Stadt) /Eisenstadt Umgebung /Rust,-3.789999999999992,196.66,200.45,-1.0200000000000014,15.74,16.76,-2.870000000000001,30.19,33.06,3.780000000000001,24.46,20.68,0.870000000000001,11.46,10.59,0.9800000000000004,8.21,7.23,-2.469999999999999,26.71,29.18,-1.9700000000000006,6.25,8.22,0,0,0
104,Güssing,-3.339999999999975,197.11,200.45,2.049999999999997,18.81,16.76,-2.360000000000003,30.7,33.06,0.120000000000001,20.8,20.68,1.1899999999999995,11.78,10.59,2.0700000000000003,9.3,7.23,-6.73,22.45,29.18,4.25,12.47,8.22,0,0,0
105,Jennersdorf,2.0400000000000205,202.49,200.45,1.4699999999999989,18.23,16.76,13.509999999999998,46.57,33.06,-6.049999999999999,14.63,20.68,-4.42,6.17,10.59,-1.5100000000000007,5.72,7.23,-7.109999999999999,22.07,29.18,8.729999999999999,16.95,8.22,0,0,0
106,Mattersburg,-15.199999999999989,185.25,200.45,0.5999999999999979,17.36,16.76,1.2899999999999991,34.35,33.06,2.990000000000002,23.67,20.68,-2.6799999999999997,7.91,10.59,0.7199999999999998,7.95,7.23,-9.280000000000001,19.9,29.18,-1.3000000000000007,6.92,8.22,0,0,0
107,Neusiedl am See,-21.869999999999976,178.58,200.45,-1.5200000000000014,15.24,16.76,-1.0200000000000031,32.04,33.06,-3.0799999999999983,17.6,20.68,-1.9499999999999993,8.64,10.59,-0.9400000000000004,6.29,7.23,-6.210000000000001,22.97,29.18,0.8499999999999996,9.07,8.22,0,0,0
108,Oberpullendorf,-22.92999999999998,177.52,200.45,-1.3500000000000014,15.41,16.76,-4.260000000000002,28.8,33.06,-2.219999999999999,18.46,20.68,1.870000000000001,12.46,10.59,-1.2000000000000002,6.03,7.23,-11.27,17.91,29.18,0.33999999999999986,8.56,8.22,0,0,0
109,Oberwart,-0.21999999999999886,200.23,200.45,4.75,21.51,16.76,2,35.06,33.06,-2.539999999999999,18.14,20.68,0.9600000000000009,11.55,10.59,2.24,9.47,7.23,-9.7,19.48,29.18,0.16999999999999993,8.39,8.22,0,0,0
201,Klagenfurt (Stadt),8.160000000000025,208.61,200.45,-0.4700000000000024,16.29,16.76,-3.7600000000000016,29.3,33.06,-3.9400000000000013,16.74,20.68,-0.9800000000000004,9.61,10.59,-0.75,6.48,7.23,15.229999999999997,44.41,29.18,-0.9900000000000002,7.23,8.22,0,0,0
202,Villach(Stadt),-1.5300000000000011,198.92,200.45,2.419999999999998,19.18,16.76,-0.45000000000000284,32.61,33.06,-2.3999999999999986,18.28,20.68,-1.1099999999999994,9.48,10.59,-1.0700000000000003,6.16,7.23,5.43,34.61,29.18,0.4900000000000002,8.71,8.22,0,0,0
